scenario,q_hcm,u_icd,q_death,u_shock,u_implant,u_compl,c_shock,c_icd,c_rscore,c_appt,c_icd_repl,c_inf,c_dis,c_compl,p_compl,p_repl,p_inf_init,p_dis_init,t_repl,delta
1,0.88,0.9,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
2,0.6,0.9,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
3,1,0.9,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
4,0.88,0.9,0,0.875,-0.096,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
5,0.88,0.9,0,0.875,0,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
6,0.88,0.8,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
7,0.88,1,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
8,0.88,0.9,0,0.875,-0.048,-0.096,165,2333,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
9,0.88,0.9,0,0.875,-0.048,-0.096,165,13788,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
10,0.88,0.9,0,0.875,-0.048,-0.096,80,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
11,0.88,0.9,0,0.875,-0.048,-0.096,340,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
12,0.88,0.9,0,1,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
13,0.88,0.9,0,0.5,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
14,0.88,1,0,1,0,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
15,0.88,0.9,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.015
16,0.88,0.9,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0
17,0.88,0.9,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.06
18,0.88,0.95,0,0.875,-0.048,-0.096,165,4666,0,145,0,37116.02174,6146.034519,28857,0.047,0,0.02277,0.00828,4,0.035
